condition,model_level,objective,candidate_id,r2,baseline_r2
Pooled,d2,o_max,m025010_o_max_ord28_rk00011,0.4527788709643278,0.4026369100629933
Pooled,d2,o_max,m024010_o_max_ord27_rk00011,0.4523397436323533,0.4026369100629933
Pooled,d2,o_max,m021002_o_max_ord24_rk00003,0.45031348517493175,0.4026369100629933
Pooled,d2,o_max,m024019_o_max_ord27_rk00020,0.45018590140111425,0.4026369100629933
Pooled,d2,o_max,m023011_o_max_ord26_rk00012,0.44985588407324206,0.4026369100629933
Pooled,d2,o_max,m020001_o_max_ord23_rk00002,0.4497275075696505,0.4026369100629933
Pooled,d2,o_max,m025014_o_max_ord28_rk00015,0.4489835673202598,0.4026369100629933
Pooled,d2,o_max,m023017_o_max_ord26_rk00018,0.4487554524820567,0.4026369100629933
Pooled,d2,o_max,m022007_o_max_ord25_rk00008,0.44767881760592965,0.4026369100629933
Pooled,d2,o_max,m024014_o_max_ord27_rk00015,0.44766134088853893,0.4026369100629933
Pooled,d2,o_max,m024017_o_max_ord27_rk00018,0.4476114619616124,0.4026369100629933
Pooled,d2,o_max,m023004_o_max_ord26_rk00005,0.4471716342287465,0.4026369100629933
Pooled,d2,o_max,m023013_o_max_ord26_rk00014,0.4470519302177818,0.4026369100629933
Pooled,d2,o_max,m024003_o_max_ord27_rk00004,0.44675154953524454,0.4026369100629933
Pooled,d2,o_min,m068532_o_min_ord24_rk00018,0.4576215781089341,0.4026369100629933
Pooled,d2,o_min,m065526_o_min_ord21_rk00012,0.45680772778685375,0.4026369100629933
Pooled,d2,o_min,m065529_o_min_ord21_rk00015,0.4553570795821732,0.4026369100629933
Pooled,d2,o_min,m067515_o_min_ord23_rk00001,0.45332159077639955,0.4026369100629933
Pooled,d2,o_min,m057518_o_min_ord13_rk00004,0.45313480802202655,0.4026369100629933
Pooled,d2,o_min,m067519_o_min_ord23_rk00005,0.4525558863919463,0.4026369100629933
Pooled,d2,o_min,m062528_o_min_ord18_rk00014,0.45198182768972883,0.4026369100629933
Pooled,d2,o_min,m067524_o_min_ord23_rk00010,0.45162508537477275,0.4026369100629933
Pooled,d2,o_min,m067526_o_min_ord23_rk00012,0.450662969730926,0.4026369100629933
Pooled,d2,o_min,m067533_o_min_ord23_rk00019,0.4504031474623138,0.4026369100629933
Pooled,d2,o_min,m066525_o_min_ord22_rk00011,0.4501820224719816,0.4026369100629933
Pooled,d2,o_min,m066534_o_min_ord22_rk00020,0.450112674674229,0.4026369100629933
Pooled,d2,o_min,m067516_o_min_ord23_rk00002,0.4500423796137053,0.4026369100629933
Pooled,d2,o_min,m068529_o_min_ord24_rk00015,0.4499619621043148,0.4026369100629933
Pooled,d2,o_min,m071526_o_min_ord27_rk00012,0.4498849232672447,0.4026369100629933
Pooled,d2,o_min,m068518_o_min_ord24_rk00004,0.4496450308837494,0.4026369100629933
Pooled,d2,o_min,m047516_o_min_ord3_rk00002,0.44949704572189575,0.4026369100629933
Pooled,d2,o_min,m069520_o_min_ord25_rk00006,0.4494941405053263,0.4026369100629933
Pooled,d2,o_min,m062533_o_min_ord18_rk00019,0.4493794252842337,0.4026369100629933
Pooled,d2,o_min,m051523_o_min_ord7_rk00009,0.44934319499683617,0.4026369100629933
Pooled,d3,o_max,m023016_o_max_ord26_rk00017,0.46835437280591896,0.44412019179998563
Pooled,d3,o_max,m023011_o_max_ord26_rk00012,0.465622613461008,0.44412019179998563
Pooled,d3,o_max,m024011_o_max_ord27_rk00012,0.46319929872946575,0.44412019179998563
Pooled,d3,o_max,m003016_o_max_ord6_rk00017,0.46298852444653327,0.44412019179998563
