model_level,objective,candidate_id,order,baseline_r2,best_single_r2
d2,o_min,m057519_o_min_ord13_rk00005,13.0,0.2369244826572131,
d2,o_min,m053520_o_min_ord9_rk00006,9.0,0.2369244826572131,
d2,o_min,m061524_o_min_ord17_rk00010,17.0,0.2369244826572131,
d2,o_min,m061516_o_min_ord17_rk00002,17.0,0.2369244826572131,
d2,o_min,m048529_o_min_ord4_rk00015,4.0,0.2369244826572131,
d2,o_min,m057521_o_min_ord13_rk00007,13.0,0.2369244826572131,
d2,o_min,m062532_o_min_ord18_rk00018,18.0,0.2369244826572131,
d2,o_min,m049529_o_min_ord5_rk00015,5.0,0.2369244826572131,
d2,o_min,m072530_o_min_ord28_rk00016,28.0,0.2369244826572131,
d2,o_min,m062531_o_min_ord18_rk00017,18.0,0.2369244826572131,
d2,o_min,m062529_o_min_ord18_rk00015,18.0,0.2369244826572131,
d2,o_min,m058526_o_min_ord14_rk00012,14.0,0.2369244826572131,
d2,o_min,m048525_o_min_ord4_rk00011,4.0,0.2369244826572131,
d2,o_min,m061533_o_min_ord17_rk00019,17.0,0.2369244826572131,
d2,o_min,m074517_o_min_ord30_rk00003,30.0,0.2369244826572131,
d2,o_min,m048528_o_min_ord4_rk00014,4.0,0.2369244826572131,
d2,o_min,m063516_o_min_ord19_rk00002,19.0,0.2369244826572131,
d2,o_min,m053531_o_min_ord9_rk00017,9.0,0.2369244826572131,
d2,o_min,m048530_o_min_ord4_rk00016,4.0,0.2369244826572131,
d2,o_min,m072527_o_min_ord28_rk00013,28.0,0.2369244826572131,
d2,o_min,m055527_o_min_ord11_rk00013,11.0,0.2369244826572131,
d2,o_min,m060519_o_min_ord16_rk00005,16.0,0.2369244826572131,
d2,o_min,m061525_o_min_ord17_rk00011,17.0,0.2369244826572131,
d2,o_min,m074519_o_min_ord30_rk00005,30.0,0.2369244826572131,
d2,o_min,m058527_o_min_ord14_rk00013,14.0,0.2369244826572131,
d2,o_min,m060523_o_min_ord16_rk00009,16.0,0.2369244826572131,
d2,o_min,m067532_o_min_ord23_rk00018,23.0,0.2369244826572131,
d2,o_min,m063531_o_min_ord19_rk00017,19.0,0.2369244826572131,
d2,o_min,m062521_o_min_ord18_rk00007,18.0,0.2369244826572131,
d2,o_min,m048523_o_min_ord4_rk00009,4.0,0.2369244826572131,
d2,o_min,m048519_o_min_ord4_rk00005,4.0,0.2369244826572131,
d2,o_min,m052531_o_min_ord8_rk00017,8.0,0.2369244826572131,
d2,o_min,m051520_o_min_ord7_rk00006,7.0,0.2369244826572131,
d2,o_min,m058533_o_min_ord14_rk00019,14.0,0.2369244826572131,
d2,o_min,m052532_o_min_ord8_rk00018,8.0,0.2369244826572131,
d2,o_min,m056517_o_min_ord12_rk00003,12.0,0.2369244826572131,
d2,o_min,m063523_o_min_ord19_rk00009,19.0,0.2369244826572131,
d2,o_max,m025007_o_max_ord28_rk00008,28.0,0.2369244826572131,
d2,o_max,m025003_o_max_ord28_rk00004,28.0,0.2369244826572131,
d2,o_max,m023006_o_max_ord26_rk00007,26.0,0.2369244826572131,
d2,o_max,m023009_o_max_ord26_rk00010,26.0,0.2369244826572131,
d2,o_max,m026018_o_max_ord29_rk00019,29.0,0.2369244826572131,
d2,o_max,m025002_o_max_ord28_rk00003,28.0,0.2369244826572131,
d2,o_max,m026005_o_max_ord29_rk00006,29.0,0.2369244826572131,
d2,o_max,m026007_o_max_ord29_rk00008,29.0,0.2369244826572131,
d2,o_max,m026012_o_max_ord29_rk00013,29.0,0.2369244826572131,
d2,o_max,m027008_o_max_ord30_rk00009,30.0,0.2369244826572131,
d2,o_max,m025017_o_max_ord28_rk00018,28.0,0.2369244826572131,
d2,o_max,m021015_o_max_ord24_rk00016,24.0,0.2369244826572131,
d2,o_max,m026017_o_max_ord29_rk00018,29.0,0.2369244826572131,
d2,o_max,m018017_o_max_ord21_rk00018,21.0,0.2369244826572131,
d2,o_max,m022014_o_max_ord25_rk00015,25.0,0.2369244826572131,
d2,o_max,m022010_o_max_ord25_rk00011,25.0,0.2369244826572131,
d2,o_max,m020013_o_max_ord23_rk00014,23.0,0.2369244826572131,
d2,o_max,m027019_o_max_ord30_rk00020,30.0,0.2369244826572131,
d2,o_max,m019009_o_max_ord22_rk00010,22.0,0.2369244826572131,
d2,o_max,m026000_o_max_ord29_rk00001,29.0,0.2369244826572131,
d2,o_max,m020007_o_max_ord23_rk00008,23.0,0.2369244826572131,
d2,o_max,m019001_o_max_ord22_rk00002,22.0,0.2369244826572131,
d2,o_max,m019004_o_max_ord22_rk00005,22.0,0.2369244826572131,
d2,o_max,m019014_o_max_ord22_rk00015,22.0,0.2369244826572131,
d2,o_max,m014000_o_max_ord17_rk00001,17.0,0.2369244826572131,
d2,o_max,m026003_o_max_ord29_rk00004,29.0,0.2369244826572131,
d2,o_max,m020004_o_max_ord23_rk00005,23.0,0.2369244826572131,
d2,o_max,m026013_o_max_ord29_rk00014,29.0,0.2369244826572131,
d2,o_max,m023011_o_max_ord26_rk00012,26.0,0.2369244826572131,
d2,o_max,m026008_o_max_ord29_rk00009,29.0,0.2369244826572131,
d2,o_max,m026009_o_max_ord29_rk00010,29.0,0.2369244826572131,
d2,o_max,m024001_o_max_ord27_rk00002,27.0,0.2369244826572131,
d2,o_max,m016000_o_max_ord19_rk00001,19.0,0.2369244826572131,
d2,o_max,m020002_o_max_ord23_rk00003,23.0,0.2369244826572131,
d2,o_max,m027007_o_max_ord30_rk00008,30.0,0.2369244826572131,
d2,o_max,m024013_o_max_ord27_rk00014,27.0,0.2369244826572131,
d2,o_max,m025014_o_max_ord28_rk00015,28.0,0.2369244826572131,
d2,o_max,m020008_o_max_ord23_rk00009,23.0,0.2369244826572131,
d2,o_max,m019000_o_max_ord22_rk00001,22.0,0.2369244826572131,
