objective,rung,model_id,order,global_oof_r2,shannon_h,n_domains,dominant_domain
o_min,xgb_tree_d3,m051534_o_min_ord7_rk00020,7,0.45055144403026903,2.5216406363433186,6,Precipitation/droughts
o_min,xgb_tree_d3,m052515_o_min_ord8_rk00001,8,0.45010383665353726,2.25,5,Air Pollution
o_min,xgb_tree_d3,m052516_o_min_ord8_rk00002,8,0.452580294683692,2.25,5,Temperature
o_min,xgb_tree_d3,m052517_o_min_ord8_rk00003,8,0.45195993693487035,2.1556390622295662,5,Socioeconomic
o_min,xgb_tree_d3,m052518_o_min_ord8_rk00004,8,0.4349995474668319,2.25,5,Temperature
o_min,xgb_tree_d3,m052519_o_min_ord8_rk00005,8,0.423037503253172,2.5,6,Air Pollution
o_min,xgb_tree_d3,m052520_o_min_ord8_rk00006,8,0.4456714129825199,2.25,5,Temperature
o_min,xgb_tree_d3,m052521_o_min_ord8_rk00007,8,0.43613128024547454,1.9056390622295665,4,Socioeconomic
o_min,xgb_tree_d3,m052522_o_min_ord8_rk00008,8,0.44747314225952406,2.25,5,Temperature
o_min,xgb_tree_d3,m052523_o_min_ord8_rk00009,8,0.42826814306886085,2.5,6,Precipitation/droughts
o_min,xgb_tree_d3,m052524_o_min_ord8_rk00010,8,0.4537267623275263,1.561278124459133,3,Precipitation/droughts
o_min,xgb_tree_d3,m052525_o_min_ord8_rk00011,8,0.44389115197035867,1.75,4,Democracy
o_min,xgb_tree_d3,m052526_o_min_ord8_rk00012,8,0.452344593461221,2.25,5,Precipitation/droughts
o_min,xgb_tree_d3,m052527_o_min_ord8_rk00013,8,0.4580563323969967,2.25,5,Precipitation/droughts
o_min,xgb_tree_d3,m052528_o_min_ord8_rk00014,8,0.4374215125068365,2.25,5,Precipitation/droughts
o_min,xgb_tree_d3,m052529_o_min_ord8_rk00015,8,0.4137276074188002,2.1556390622295662,5,Air Pollution
o_min,xgb_tree_d3,m052530_o_min_ord8_rk00016,8,0.41705734281331086,2.1556390622295662,5,Air Pollution
o_min,xgb_tree_d3,m052531_o_min_ord8_rk00017,8,0.41401438464716045,2.1556390622295662,5,Air Pollution
o_min,xgb_tree_d3,m052532_o_min_ord8_rk00018,8,0.4309556044885027,2.0,4,Air Pollution
o_min,xgb_tree_d3,m052533_o_min_ord8_rk00019,8,0.43007173305873225,2.5,6,Air Pollution
o_min,xgb_tree_d3,m052534_o_min_ord8_rk00020,8,0.4502369072041086,2.25,5,Air Pollution
o_min,xgb_tree_d3,m053515_o_min_ord9_rk00001,9,0.44908943635354537,2.197159723424149,5,Socioeconomic
o_min,xgb_tree_d3,m053516_o_min_ord9_rk00002,9,0.43291819378225305,2.725480556997868,7,Precipitation/droughts
o_min,xgb_tree_d3,m053517_o_min_ord9_rk00003,9,0.44240243730419404,2.1971597234241496,5,Socioeconomic
o_min,xgb_tree_d3,m053518_o_min_ord9_rk00004,9,0.442586857586015,2.197159723424149,5,Temperature
o_min,xgb_tree_d3,m053519_o_min_ord9_rk00005,9,0.45589642064919,2.2810361125534238,5,Air Pollution
o_min,xgb_tree_d3,m053520_o_min_ord9_rk00006,9,0.4417542889724847,2.2810361125534238,5,Air Pollution
o_min,xgb_tree_d3,m053521_o_min_ord9_rk00007,9,0.43994670576308104,2.5032583347756456,6,Air Pollution
o_min,xgb_tree_d3,m053522_o_min_ord9_rk00008,9,0.4385805073259298,2.5032583347756456,6,Temperature
o_min,xgb_tree_d3,m053523_o_min_ord9_rk00009,9,0.42402825888214835,2.2810361125534238,5,Temperature
o_min,xgb_tree_d3,m053524_o_min_ord9_rk00010,9,0.45330477514913725,2.197159723424149,5,Socioeconomic
o_min,xgb_tree_d3,m053525_o_min_ord9_rk00011,9,0.4339119463799508,2.725480556997868,7,Air Pollution
o_min,xgb_tree_d3,m053526_o_min_ord9_rk00012,9,0.44793396699095966,2.197159723424149,5,Temperature
o_min,xgb_tree_d3,m053527_o_min_ord9_rk00013,9,0.44360110051894375,2.197159723424149,5,Socioeconomic
o_min,xgb_tree_d3,m053528_o_min_ord9_rk00014,9,0.4434828981022957,2.5032583347756456,6,Temperature
o_min,xgb_tree_d3,m053529_o_min_ord9_rk00015,9,0.44051620452912477,2.197159723424149,5,Socioeconomic
o_min,xgb_tree_d3,m053530_o_min_ord9_rk00016,9,0.4301896174024653,2.197159723424149,5,Democracy
o_min,xgb_tree_d3,m053531_o_min_ord9_rk00017,9,0.4415515528594419,2.197159723424149,5,Air Pollution
o_min,xgb_tree_d3,m053532_o_min_ord9_rk00018,9,0.43943023128134207,2.0588138903312014,5,Democracy
o_min,xgb_tree_d3,m053533_o_min_ord9_rk00019,9,0.44689299040989516,2.1971597234241496,5,Socioeconomic
o_min,xgb_tree_d3,m053534_o_min_ord9_rk00020,9,0.4335670955641888,2.197159723424149,5,Air Pollution
o_min,xgb_tree_d3,m054515_o_min_ord10_rk00001,10,0.4460153574397594,2.7219280948873625,7,Air Pollution
o_min,xgb_tree_d3,m054516_o_min_ord10_rk00002,10,0.4429915965420418,2.2464393446710154,5,Socioeconomic
o_min,xgb_tree_d3,m054517_o_min_ord10_rk00003,10,0.4317088609383447,2.170950594454669,5,Air Pollution
o_min,xgb_tree_d3,m054518_o_min_ord10_rk00004,10,0.43158605938506467,2.4464393446710155,6,Temperature
o_min,xgb_tree_d3,m054519_o_min_ord10_rk00005,10,0.4448367727227682,2.2464393446710154,5,Democracy
o_min,xgb_tree_d3,m054520_o_min_ord10_rk00006,10,0.41418996058322877,2.4464393446710155,6,Temperature
o_min,xgb_tree_d3,m054521_o_min_ord10_rk00007,10,0.41411378825593637,2.4464393446710155,6,Temperature
o_min,xgb_tree_d3,m054522_o_min_ord10_rk00008,10,0.4373906121755131,2.7219280948873625,7,Temperature
o_min,xgb_tree_d3,m054523_o_min_ord10_rk00009,10,0.4194788460714569,2.4464393446710155,6,Temperature
o_min,xgb_tree_d3,m054524_o_min_ord10_rk00010,10,0.42561629743217866,2.2464393446710154,5,Temperature
o_min,xgb_tree_d3,m054525_o_min_ord10_rk00011,10,0.43910198836598613,2.2464393446710154,5,Socioeconomic
o_min,xgb_tree_d3,m054526_o_min_ord10_rk00012,10,0.451110840217987,2.4464393446710155,6,Air Pollution
o_min,xgb_tree_d3,m054527_o_min_ord10_rk00013,10,0.438991028704505,2.2464393446710154,5,Socioeconomic
o_min,xgb_tree_d3,m054528_o_min_ord10_rk00014,10,0.4431214036713155,2.2464393446710154,5,Temperature
o_min,xgb_tree_d3,m054529_o_min_ord10_rk00015,10,0.42476512105490527,2.4464393446710155,6,Air Pollution
o_min,xgb_tree_d3,m054530_o_min_ord10_rk00016,10,0.4498181953994298,2.4464393446710155,6,Temperature
o_min,xgb_tree_d3,m054531_o_min_ord10_rk00017,10,0.4399390204373079,2.2464393446710154,5,Socioeconomic
o_min,xgb_tree_d3,m054532_o_min_ord10_rk00018,10,0.43271471426566777,2.4464393446710155,6,Temperature
o_min,xgb_tree_d3,m054533_o_min_ord10_rk00019,10,0.4271394710000387,2.4464393446710155,6,Temperature
o_min,xgb_tree_d3,m054534_o_min_ord10_rk00020,10,0.4379503586072384,2.721928094887362,7,Air Pollution
o_min,xgb_tree_d3,m055515_o_min_ord11_rk00001,11,0.4465233099707385,2.7321588913645702,7,Air Pollution
o_min,xgb_tree_d3,m055516_o_min_ord11_rk00002,11,0.451207609750785,2.663532754804255,7,Temperature
o_min,xgb_tree_d3,m055517_o_min_ord11_rk00003,11,0.4352600271931266,2.663532754804255,7,Temperature
o_min,xgb_tree_d3,m055518_o_min_ord11_rk00004,11,0.4365824091226095,2.663532754804255,7,Temperature
o_min,xgb_tree_d3,m055519_o_min_ord11_rk00005,11,0.4559372496857338,2.663532754804255,7,Air Pollution
o_min,xgb_tree_d3,m055520_o_min_ord11_rk00006,11,0.4235890283482816,2.481714572986073,6,Democracy
o_min,xgb_tree_d3,m055521_o_min_ord11_rk00007,11,0.429636574460058,2.299896391167891,5,Temperature
o_min,xgb_tree_d3,m055522_o_min_ord11_rk00008,11,0.4504246471425921,2.481714572986073,6,Temperature
o_min,xgb_tree_d3,m055523_o_min_ord11_rk00009,11,0.4324721312794091,2.299896391167891,5,Temperature
o_min,xgb_tree_d3,m055524_o_min_ord11_rk00010,11,0.42974922990015163,2.413088436425758,6,Temperature
o_min,xgb_tree_d3,m055525_o_min_ord11_rk00011,11,0.45012663889894733,2.2998963911678914,5,Socioeconomic
o_min,xgb_tree_d3,m055526_o_min_ord11_rk00012,11,0.42314832258165114,2.481714572986073,6,Air Pollution
o_min,xgb_tree_d3,m055527_o_min_ord11_rk00013,11,0.4206478680804058,2.1180782093497093,5,Temperature
o_min,xgb_tree_d3,m055528_o_min_ord11_rk00014,11,0.4338633205510113,2.663532754804255,7,Temperature
o_min,xgb_tree_d3,m055529_o_min_ord11_rk00015,11,0.4376772777804394,2.663532754804255,7,Temperature
o_min,xgb_tree_d3,m055530_o_min_ord11_rk00016,11,0.4459871810869859,2.481714572986073,6,Temperature
o_min,xgb_tree_d3,m055531_o_min_ord11_rk00017,11,0.43002996649933134,2.663532754804255,7,Precipitation/droughts
o_min,xgb_tree_d3,m055532_o_min_ord11_rk00018,11,0.4444588514446246,2.663532754804255,7,Temperature
o_min,xgb_tree_d3,m055533_o_min_ord11_rk00019,11,0.4320933610889135,2.299896391167891,5,Temperature
o_min,xgb_tree_d3,m055534_o_min_ord11_rk00020,11,0.43837584226237303,2.2998963911678914,6,Temperature
o_min,xgb_tree_d3,m056515_o_min_ord12_rk00001,12,0.45385660021628527,2.688721875540867,7,Temperature
o_min,xgb_tree_d3,m056516_o_min_ord12_rk00002,12,0.4413201482553215,2.4591479170272446,6,Temperature
o_min,xgb_tree_d3,m056517_o_min_ord12_rk00003,12,0.44776149981688806,2.688721875540867,7,Temperature
o_min,xgb_tree_d3,m056518_o_min_ord12_rk00004,12,0.44995786545386274,2.584962500721156,7,Temperature
o_min,xgb_tree_d3,m056519_o_min_ord12_rk00005,12,0.441603248444808,2.6258145836939115,7,Temperature
o_min,xgb_tree_d3,m056520_o_min_ord12_rk00006,12,0.44391322233213004,2.6258145836939115,7,Temperature
o_min,xgb_tree_d3,m056521_o_min_ord12_rk00007,12,0.42770230444858626,2.8553885422075336,8,Precipitation/droughts
o_min,xgb_tree_d3,m056522_o_min_ord12_rk00008,12,0.4518925093967623,2.688721875540867,7,Temperature
o_min,xgb_tree_d3,m056523_o_min_ord12_rk00009,12,0.44389145387882045,2.688721875540867,7,Temperature
o_min,xgb_tree_d3,m056524_o_min_ord12_rk00010,12,0.4570050621214249,2.6258145836939115,7,Temperature
o_min,xgb_tree_d3,m056525_o_min_ord12_rk00011,12,0.45326823035420905,2.688721875540867,7,Temperature
o_min,xgb_tree_d3,m056526_o_min_ord12_rk00012,12,0.4441068381231861,2.8553885422075336,8,Precipitation/droughts
o_min,xgb_tree_d3,m056527_o_min_ord12_rk00013,12,0.43006631067630463,2.688721875540867,7,Air Pollution
o_min,xgb_tree_d3,m056528_o_min_ord12_rk00014,12,0.436091026047813,2.292481250360578,5,Temperature
o_min,xgb_tree_d3,m056529_o_min_ord12_rk00015,12,0.4495394649469292,2.688721875540867,7,Air Pollution
o_min,xgb_tree_d3,m056530_o_min_ord12_rk00016,12,0.4564324077547439,2.688721875540867,7,Temperature
o_min,xgb_tree_d3,m056531_o_min_ord12_rk00017,12,0.45423104169969064,2.4591479170272446,6,Temperature
o_min,xgb_tree_d3,m056532_o_min_ord12_rk00018,12,0.44627488552239203,2.292481250360578,5,Temperature
o_min,xgb_tree_d3,m056533_o_min_ord12_rk00019,12,0.45015444792186754,2.292481250360578,5,Temperature
o_min,xgb_tree_d3,m056534_o_min_ord12_rk00020,12,0.4329735716185059,2.8553885422075336,8,Temperature
o_min,xgb_tree_d3,m057515_o_min_ord13_rk00001,13,0.4486080295733007,2.6612262562697895,7,Temperature
o_min,xgb_tree_d3,m057516_o_min_ord13_rk00002,13,0.44164622357527683,2.6235166412180155,7,Temperature
o_min,xgb_tree_d3,m057517_o_min_ord13_rk00003,13,0.44268108037827514,2.6612262562697895,7,Temperature
o_min,xgb_tree_d3,m057518_o_min_ord13_rk00004,13,0.45067938571128974,2.873140679513133,8,Temperature
o_min,xgb_tree_d3,m057519_o_min_ord13_rk00005,13,0.43991139639552346,2.6612262562697895,7,Temperature
o_min,xgb_tree_d3,m057520_o_min_ord13_rk00006,13,0.43929900040358016,2.873140679513133,8,Precipitation/droughts
o_min,xgb_tree_d3,m057521_o_min_ord13_rk00007,13,0.4467228538984618,2.6612262562697895,7,Temperature
o_min,xgb_tree_d3,m057522_o_min_ord13_rk00008,13,0.4425508771964868,2.6612262562697895,7,Temperature
o_min,xgb_tree_d3,m057523_o_min_ord13_rk00009,13,0.43948680475938295,2.873140679513133,8,Precipitation/droughts
o_min,xgb_tree_d3,m057524_o_min_ord13_rk00010,13,0.42996173345608646,2.2577560641285177,5,Temperature
o_min,xgb_tree_d3,m057525_o_min_ord13_rk00011,13,0.4484120754156624,2.7192945256669794,7,Air Pollution
o_min,xgb_tree_d3,m057526_o_min_ord13_rk00012,13,0.4324542670845545,2.449311833026446,6,Temperature
o_min,xgb_tree_d3,m057527_o_min_ord13_rk00013,13,0.4368893664481587,2.6031579868726,7,Temperature
o_min,xgb_tree_d3,m057528_o_min_ord13_rk00014,13,0.44503783094347094,2.6612262562697895,7,Temperature
o_min,xgb_tree_d3,m057529_o_min_ord13_rk00015,13,0.4094141355954275,2.6031579868726,7,Temperature
o_min,xgb_tree_d3,m057530_o_min_ord13_rk00016,13,0.44215652998760513,2.7192945256669794,7,Temperature
o_min,xgb_tree_d3,m057531_o_min_ord13_rk00017,13,0.44856860236031115,2.2954656791802917,5,Air Pollution
o_min,xgb_tree_d3,m057532_o_min_ord13_rk00018,13,0.4459201906829826,2.7773627950641693,8,Temperature
o_min,xgb_tree_d3,m057533_o_min_ord13_rk00019,13,0.4343660498991446,2.6612262562697895,7,Temperature
o_min,xgb_tree_d3,m057534_o_min_ord13_rk00020,13,0.434374472294107,2.4116022179746714,6,Temperature
o_min,xgb_tree_d3,m058515_o_min_ord14_rk00001,14,0.4293897182939611,2.8962915290459277,8,Temperature
o_min,xgb_tree_d3,m058516_o_min_ord14_rk00002,14,0.4405460736375064,2.8423709931771084,8,Temperature
o_min,xgb_tree_d3,m058517_o_min_ord14_rk00003,14,0.42784981010855117,2.8423709931771084,8,Temperature
o_min,xgb_tree_d3,m058518_o_min_ord14_rk00004,14,0.4303827159476319,2.610577243331642,7,Temperature
o_min,xgb_tree_d3,m058519_o_min_ord14_rk00005,14,0.446611987956008,2.8423709931771084,8,Temperature
o_min,xgb_tree_d3,m058520_o_min_ord14_rk00006,14,0.451897379115062,2.8423709931771084,8,Temperature
o_min,xgb_tree_d3,m058521_o_min_ord14_rk00007,14,0.43640069365807754,2.5027361715940035,6,Air Pollution
o_min,xgb_tree_d3,m058522_o_min_ord14_rk00008,14,0.4484588941353257,2.6455933144511468,7,Temperature
o_min,xgb_tree_d3,m058523_o_min_ord14_rk00009,14,0.4362245703852077,2.2359263506290326,5,Temperature
o_min,xgb_tree_d3,m058524_o_min_ord14_rk00010,14,0.44732092545174107,2.8423709931771084,8,Temperature
o_min,xgb_tree_d3,m058525_o_min_ord14_rk00011,14,0.4508974673952255,2.8423709931771084,8,Temperature
o_min,xgb_tree_d3,m058526_o_min_ord14_rk00012,14,0.44364191509584905,2.5027361715940035,6,Air Pollution
o_min,xgb_tree_d3,m058527_o_min_ord14_rk00013,14,0.4371899418573718,2.5027361715940035,6,Air Pollution
o_min,xgb_tree_d3,m058528_o_min_ord14_rk00014,14,0.45194879741621086,2.699513850319966,7,Air Pollution
o_min,xgb_tree_d3,m058529_o_min_ord14_rk00015,14,0.45073161120031313,2.610577243331642,7,Temperature
o_min,xgb_tree_d3,m058530_o_min_ord14_rk00016,14,0.45213686483060855,2.6455933144511468,7,Temperature
o_min,xgb_tree_d3,m058531_o_min_ord14_rk00017,14,0.4560618306284563,2.6455933144511468,7,Temperature
