model_level,objective,pct_synergistic_triplets,full_r2
d2,o_max,0.0494071,0.4427510962580039
d2,o_max,0.0494071,0.45031348517493175
d2,o_max,0.0494071,0.44222259661672647
d2,o_max,0.0,0.44089179775849086
d2,o_max,0.0,0.44071009402727634
d2,o_max,0.0,0.4413474171684463
d2,o_max,0.0,0.4411485759524131
d2,o_max,0.0,0.44362898741889056
d2,o_max,0.0434783,0.4454059787023763
d2,o_max,0.9565219999999999,0.44767881760592965
d2,o_max,0.0434783,0.4417985652930917
d2,o_max,0.0434783,0.4384255242626185
d2,o_max,0.0,0.44378827339838445
d2,o_max,0.038461499999999996,0.44155067841781703
d2,o_max,0.884615,0.4471716342287465
d2,o_max,0.038461499999999996,0.44284927425419496
d2,o_max,0.038461499999999996,0.44985588407324206
d2,o_max,0.038461499999999996,0.4470519302177818
d2,o_max,0.038461499999999996,0.4410903975607129
d2,o_max,0.884615,0.46368513696835667
d2,o_max,0.038461499999999996,0.4487554524820567
d2,o_max,0.038461499999999996,0.43948937677642164
d2,o_max,0.0683761,0.44675154953524454
d2,o_max,1.4359,0.4424359499405096
d2,o_max,0.0683761,0.4462108883665433
d2,o_max,0.034188,0.4523397436323533
d2,o_max,0.034188,0.4430826004222528
d2,o_max,0.0683761,0.44766134088853893
d2,o_max,0.034188,0.4476114619616124
d2,o_max,0.0683761,0.45318075731886687
d2,o_max,0.239316,0.45018590140111425
d2,o_max,0.061050099999999996,0.4558286848674301
d2,o_max,1.3431,0.4434603114587887
d2,o_max,0.48840000000000006,0.4428933302973219
d2,o_max,0.030525000000000004,0.45776565927041246
d2,o_max,0.030525000000000004,0.4527788709643278
d2,o_max,1.31258,0.4388220948306707
d2,o_max,0.24420000000000003,0.4489835673202598
d2,o_max,1.3431,0.43855265190491566
d2,o_max,0.60208,0.453615396784496
d2,o_max,1.20416,0.44343906379389764
d2,o_max,0.218938,0.4442832046012348
d2,o_max,0.0273673,0.4417509239920757
d2,o_max,0.0492611,0.44539006075954424
d2,o_min,100.0,0.44949704572189575
d2,o_min,100.0,0.4483637359665348
d2,o_min,60.0,0.447210043547285
d2,o_min,50.0,0.4473351908731732
d2,o_min,70.0,0.4469040481130929
d2,o_min,51.4286,0.44934319499683617
d2,o_min,53.571400000000004,0.4467756378547416
d2,o_min,42.857099999999996,0.4491433988308027
d2,o_min,42.857099999999996,0.4481037676192753
