model_level,objective,candidate_id,full_r2,baseline_r2,best_single_r2
d1,o_max,m019000_o_max_ord22_rk00001,0.24148275736144675,0.23712987345457692,0.2458599080617255
d1,o_max,m018000_o_max_ord21_rk00001,0.24145212211845601,0.23712987345457692,0.2458599080617255
d1,o_max,m020004_o_max_ord23_rk00005,0.24143881386586585,0.23712987345457692,0.2458599080617255
d1,o_max,m018006_o_max_ord21_rk00007,0.24143766376884246,0.23712987345457692,0.2458599080617255
d1,o_max,m015000_o_max_ord18_rk00001,0.24139391392040854,0.23712987345457692,0.2458599080617255
d1,o_max,m026018_o_max_ord29_rk00019,0.24090474345931168,0.23712987345457692,0.2458599080617255
d1,o_max,m016000_o_max_ord19_rk00001,0.24082315481876138,0.23712987345457692,0.2458599080617255
d1,o_max,m020000_o_max_ord23_rk00001,0.24069941475399037,0.23712987345457692,0.2458599080617255
d1,o_max,m020007_o_max_ord23_rk00008,0.24066051607651529,0.23712987345457692,0.2458599080617255
d1,o_max,m014000_o_max_ord17_rk00001,0.24048178275708376,0.23712987345457692,0.2458599080617255
d1,o_max,m019014_o_max_ord22_rk00015,0.2403905504012145,0.23712987345457692,0.2458599080617255
d1,o_max,m017011_o_max_ord20_rk00012,0.2402350754079472,0.23712987345457692,0.2458599080617255
d1,o_max,m018004_o_max_ord21_rk00005,0.24015463992950714,0.23712987345457692,0.2458599080617255
d1,o_max,m020002_o_max_ord23_rk00003,0.2401364850526626,0.23712987345457692,0.2458599080617255
d1,o_max,m018015_o_max_ord21_rk00016,0.2399847202099008,0.23712987345457692,0.2458599080617255
d1,o_max,m026003_o_max_ord29_rk00004,0.23998415023829345,0.23712987345457692,0.2458599080617255
d1,o_max,m017018_o_max_ord20_rk00019,0.2394894200261546,0.23712987345457692,0.2458599080617255
d1,o_max,m025000_o_max_ord28_rk00001,0.2394806805799189,0.23712987345457692,0.2458599080617255
d1,o_max,m019001_o_max_ord22_rk00002,0.23937645207482572,0.23712987345457692,0.2458599080617255
d1,o_max,m022002_o_max_ord25_rk00003,0.23933675603953286,0.23712987345457692,0.2458599080617255
d1,o_max,m017000_o_max_ord20_rk00001,0.23932962843974592,0.23712987345457692,0.2458599080617255
d1,o_max,m026017_o_max_ord29_rk00018,0.2390082865272697,0.23712987345457692,0.2458599080617255
d1,o_max,m024000_o_max_ord27_rk00001,0.23890573698571305,0.23712987345457692,0.2458599080617255
d1,o_max,m021010_o_max_ord24_rk00011,0.2388667731520654,0.23712987345457692,0.2458599080617255
d1,o_max,m027000_o_max_ord30_rk00001,0.23885843436040954,0.23712987345457692,0.2458599080617255
d1,o_max,m025018_o_max_ord28_rk00019,0.23838454190788838,0.23712987345457692,0.2458599080617255
d1,o_max,m026001_o_max_ord29_rk00002,0.23824917989205463,0.23712987345457692,0.2458599080617255
d1,o_max,m026008_o_max_ord29_rk00009,0.23797476387235583,0.23712987345457692,0.2458599080617255
d1,o_max,m020008_o_max_ord23_rk00009,0.23758417154142697,0.23712987345457692,0.2458599080617255
d1,o_max,m012012_o_max_ord15_rk00013,0.23717275729540555,0.23712987345457692,0.2458599080617255
d1,o_max,m026013_o_max_ord29_rk00014,0.2370957171424236,0.23712987345457692,0.2458599080617255
d1,o_max,m000005_o_max_ord3_rk00006,0.23678164553459202,0.23712987345457692,0.2458599080617255
d1,o_max,m025003_o_max_ord28_rk00004,0.23674745008434883,0.23712987345457692,0.2458599080617255
d1,o_max,m025007_o_max_ord28_rk00008,0.2365686386153678,0.23712987345457692,0.2458599080617255
d1,o_max,m022019_o_max_ord25_rk00020,0.23648929711441713,0.23712987345457692,0.2458599080617255
d1,o_max,m012004_o_max_ord15_rk00005,0.23643923916889786,0.23712987345457692,0.2458599080617255
d1,o_max,m023006_o_max_ord26_rk00007,0.23643788583855574,0.23712987345457692,0.2458599080617255
d1,o_max,m026012_o_max_ord29_rk00013,0.2364125136123416,0.23712987345457692,0.2458599080617255
d1,o_max,m012000_o_max_ord15_rk00001,0.236349532934518,0.23712987345457692,0.2458599080617255
d1,o_max,m027015_o_max_ord30_rk00016,0.2360820852661758,0.23712987345457692,0.2458599080617255
d1,o_max,m025015_o_max_ord28_rk00016,0.23587456979896748,0.23712987345457692,0.2458599080617255
d1,o_max,m025017_o_max_ord28_rk00018,0.23580554176871005,0.23712987345457692,0.2458599080617255
d1,o_max,m023000_o_max_ord26_rk00001,0.23579699502127727,0.23712987345457692,0.2458599080617255
d1,o_max,m026007_o_max_ord29_rk00008,0.23575685674727231,0.23712987345457692,0.2458599080617255
d1,o_max,m026015_o_max_ord29_rk00016,0.23572705672147487,0.23712987345457692,0.2458599080617255
d1,o_max,m027007_o_max_ord30_rk00008,0.2355803551650857,0.23712987345457692,0.2458599080617255
d1,o_max,m025014_o_max_ord28_rk00015,0.23551687801480703,0.23712987345457692,0.2458599080617255
d2,o_min,m047520_o_min_ord3_rk00006,0.2612331281291119,0.2369244826572131,0.2623057318178667
d2,o_min,m055519_o_min_ord11_rk00005,0.2608644997035109,0.2369244826572131,0.2623057318178667
d2,o_min,m050517_o_min_ord6_rk00003,0.26074167756910427,0.2369244826572131,0.2623057318178667
d2,o_min,m048517_o_min_ord4_rk00003,0.2606464824357838,0.2369244826572131,0.2623057318178667
d2,o_min,m052521_o_min_ord8_rk00007,0.26053004128403545,0.2369244826572131,0.2623057318178667
d2,o_min,m049520_o_min_ord5_rk00006,0.26028828129008996,0.2369244826572131,0.2623057318178667
d2,o_min,m048520_o_min_ord4_rk00006,0.26018194885652235,0.2369244826572131,0.2623057318178667
d2,o_min,m048518_o_min_ord4_rk00004,0.2597954957679901,0.2369244826572131,0.2623057318178667
d2,o_min,m061529_o_min_ord17_rk00015,0.2596634777937349,0.2369244826572131,0.2623057318178667
d2,o_min,m049524_o_min_ord5_rk00010,0.2596055338378044,0.2369244826572131,0.2623057318178667
d2,o_min,m058524_o_min_ord14_rk00010,0.2594154902028496,0.2369244826572131,0.2623057318178667
d2,o_min,m065526_o_min_ord21_rk00012,0.25939489891226153,0.2369244826572131,0.2623057318178667
d2,o_min,m057525_o_min_ord13_rk00011,0.2590144857803639,0.2369244826572131,0.2623057318178667
d2,o_min,m057519_o_min_ord13_rk00005,0.2589743946873614,0.2369244826572131,0.2623057318178667
d2,o_min,m053520_o_min_ord9_rk00006,0.2589561791803927,0.2369244826572131,0.2623057318178667
d2,o_min,m061524_o_min_ord17_rk00010,0.25893979834220116,0.2369244826572131,0.2623057318178667
d2,o_min,m061516_o_min_ord17_rk00002,0.25887114256914545,0.2369244826572131,0.2623057318178667
