model_level,objective,candidate_id,full_r2,baseline_r2,best_single_r2
OLS,o_min,m052515_o_min_ord8_rk00001,0.3939674152031257,0.4356486069738752,0.4466711121222795
OLS,o_min,m047532_o_min_ord3_rk00018,0.3920027485681097,0.4356486069738752,0.4466711121222795
OLS,o_min,m049525_o_min_ord5_rk00011,0.39169790548434125,0.4356486069738752,0.4466711121222795
OLS,o_min,m050534_o_min_ord6_rk00020,0.391039347138865,0.4356486069738752,0.4466711121222795
OLS,o_min,m049526_o_min_ord5_rk00012,0.3902417486307723,0.4356486069738752,0.4466711121222795
OLS,o_min,m049527_o_min_ord5_rk00013,0.3895270916332413,0.4356486069738752,0.4466711121222795
OLS,o_min,m050533_o_min_ord6_rk00019,0.38790652617269006,0.4356486069738752,0.4466711121222795
OLS,o_min,m049515_o_min_ord5_rk00001,0.38789608178724433,0.4356486069738752,0.4466711121222795
OLS,o_min,m052525_o_min_ord8_rk00011,0.3872958956716419,0.4356486069738752,0.4466711121222795
OLS,o_min,m049534_o_min_ord5_rk00020,0.38355738953815977,0.4356486069738752,0.4466711121222795
OLS,o_min,m047517_o_min_ord3_rk00003,0.38323360011485397,0.4356486069738752,0.4466711121222795
OLS,o_min,m048532_o_min_ord4_rk00018,0.38314553801915907,0.4356486069738752,0.4466711121222795
OLS,o_min,m050525_o_min_ord6_rk00011,0.38238013875736776,0.4356486069738752,0.4466711121222795
OLS,o_min,m047529_o_min_ord3_rk00015,0.3795936563691943,0.4356486069738752,0.4466711121222795
OLS,o_min,m049533_o_min_ord5_rk00019,0.3754983613744909,0.4356486069738752,0.4466711121222795
OLS,o_min,m051529_o_min_ord7_rk00015,0.3747142641889426,0.4356486069738752,0.4466711121222795
OLS,o_min,m051517_o_min_ord7_rk00003,0.37154727351761485,0.4356486069738752,0.4466711121222795
OLS,o_min,m050519_o_min_ord6_rk00005,0.36655897149563443,0.4356486069738752,0.4466711121222795
OLS,o_min,m053520_o_min_ord9_rk00006,0.36447111638223817,0.4356486069738752,0.4466711121222795
OLS,o_min,m052528_o_min_ord8_rk00014,0.36187344129994903,0.4356486069738752,0.4466711121222795
OLS,o_min,m052522_o_min_ord8_rk00008,0.3610652435395524,0.4356486069738752,0.4466711121222795
OLS,o_min,m052517_o_min_ord8_rk00003,0.35970272455646135,0.4356486069738752,0.4466711121222795
