bag,order_cap,rung_id,beta_h_syn,beta_h_red,beta_interaction,p_h_syn_interaction_cluster_order,p_h_syn_interaction_perm
functional,28,xgb_tree_d3,0.0217455822561477,0.0114683327323992,0.0102772495237485,0.002314631358394,9.999000099990002e-05
functional,29,xgb_tree_d3,0.0214198227226388,0.0112233492208502,0.0101964735017886,0.001567252366245,9.999000099990002e-05
functional,30,xgb_tree_d3,0.0215318004261497,0.0110813613689891,0.0104504390571605,0.0006625271369168,9.999000099990002e-05
structural,5,xgb_tree_d3,0.0036925472211954,0.0018462736105977,0.0018462736105977,0.2749374263518805,0.264973502649735
structural,6,xgb_tree_d3,0.0007468643107052,0.0003734321553526,0.0003734321553526,0.7926820507714386,0.7636236376362364
structural,7,xgb_tree_d3,-0.0004830676332736,-0.0002415338166363,-0.0002415338166372,0.7813161470442156,0.8287171282871713
structural,8,xgb_tree_d3,-0.0003661232498929,-0.0001830616249461,-0.0001830616249468,0.6773108153553737,0.8414158584141586
structural,9,xgb_tree_d3,-0.0015379717874187,-0.0007689858937093,-0.0007689858937093,0.1630480849847706,0.3387661233876612
structural,10,xgb_tree_d3,-0.0019711359471325,0.0174941095742,-0.0194652455213325,4.78031441120607e-13,9.999000099990002e-05
structural,11,xgb_tree_d3,-0.0022252235730813,0.0126764606081938,-0.0149016841812751,8.979636446596697e-05,9.999000099990002e-05
structural,12,xgb_tree_d3,-0.0028494657237934,0.0109070773093084,-0.0137565430331019,3.674903303205304e-05,9.999000099990002e-05
structural,13,xgb_tree_d3,-0.0032764440597091,0.009595607669719,-0.0128720517294281,4.826872550489381e-05,9.999000099990002e-05
structural,14,xgb_tree_d3,-0.00300103251367,0.0070029376596359,-0.0100039701733059,0.0033389564202032,9.999000099990002e-05
structural,15,xgb_tree_d3,-0.0026638843278373,0.0083018859021153,-0.0109657702299526,7.516945116039055e-05,9.999000099990002e-05
structural,16,xgb_tree_d3,-0.0027330189028283,0.0097230987735373,-0.0124561176763656,1.3682941262287682e-09,9.999000099990002e-05
structural,17,xgb_tree_d3,-0.0021344045947403,0.0103406732161514,-0.0124750778108918,8.29875044486326e-13,9.999000099990002e-05
structural,18,xgb_tree_d3,-0.0018548864094376,0.009919609335071,-0.0117744957445086,4.505615707923258e-12,9.999000099990002e-05
structural,19,xgb_tree_d3,-0.0010058620582885,0.008982747535059,-0.0099886095933476,8.384559123525189e-06,9.999000099990002e-05
structural,20,xgb_tree_d3,-0.0009712132624456,0.00798092675725,-0.0089521400196957,5.150232918962106e-07,9.999000099990002e-05
structural,21,xgb_tree_d3,-0.0007071124713886,0.0092359322134951,-0.0099430446848837,2.490985024286066e-09,9.999000099990002e-05
structural,22,xgb_tree_d3,-0.0007026767974267,0.0087148248352084,-0.0094175016326351,9.021259311877724e-10,9.999000099990002e-05
structural,23,xgb_tree_d3,-0.0005234887938384,0.0077551816566396,-0.008278670450478,1.1256836470900079e-07,9.999000099990002e-05
structural,24,xgb_tree_d3,-0.000579103868099,0.0075089964001113,-0.0080881002682104,1.911996768547039e-09,9.999000099990002e-05
structural,25,xgb_tree_d3,-0.0004983985361324,0.0076845167600158,-0.0081829152961483,6.429306818681456e-11,9.999000099990002e-05
structural,26,xgb_tree_d3,-0.0005304044925186,0.0080903045845594,-0.0086207090770781,9.310427595764058e-12,9.999000099990002e-05
structural,27,xgb_tree_d3,-0.0002986066086295,0.0084877110320532,-0.0087863176406827,8.881261092491615e-13,9.999000099990002e-05
structural,28,xgb_tree_d3,-0.0003335162615501,0.0083869524836178,-0.008720468745168,1.851069132665847e-13,9.999000099990002e-05
structural,29,xgb_tree_d3,-0.0002207588759106,0.0093647031407557,-0.0095854620166663,5.27904770315015e-12,9.999000099990002e-05
structural,30,xgb_tree_d3,-2.73591152916506e-05,0.0096295562699542,-0.0096569153852458,2.413672533693837e-13,9.999000099990002e-05
